Jenis_Kelamin,Usia,Kelas,Program Studi,Asal_Sekolah,Kemampuan_Finansial,Jumlah_SKS_Ulang,Jumlah_Cuti,Label
L,23,Malam,Stat,SMA Negeri,Sangat Baik,4,0,Lulus Tepat Waktu
P,21,Malam,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Shift,Stat,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Shift,Math,SMA Negeri,Sangat Baik,8,0,Lulus Tepat Waktu
L,21,Shift,Stat,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Malam,Stat,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
P,18,Reguler,Math,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,21,Reguler,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Math,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,21,Malam,Math,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,27,Shift,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,22,Malam,Stat,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,21,Shift,Math,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,21,Malam,Stat,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,23,Shift,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Shift,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Reguler,Math,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,22,Malam,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,21,Shift,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,18,Reguler,Stat,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,35,Shift,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Shift,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,23,Malam,Math,SMA Negeri,Sangat Baik,9,1,Lulus Tepat Waktu
P,19,Malam,Stat,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Shift,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Malam,Math,SMA Swasta,Sangat Baik,12,1,Lulus Tidak Tepat Waktu
P,22,Malam,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Malam,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Math,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Malam,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,17,Shift,Math,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,25,Shift,Math,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Math,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,22,Shift,Math,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Malam,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Malam,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Malam,Stat,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
L,26,Malam,Math,SMK Negeri,Sangat Baik,2,0,Lulus Tepat Waktu
P,18,Reguler,Math,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,19,Malam,Math,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,29,Malam,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,17,Shift,Stat,SMK Negeri,Sangat Baik,5,0,Lulus Tepat Waktu
P,21,Malam,Math,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Shift,Stat,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,17,Malam,Math,SMA Negeri,Sangat Baik,12,1,Lulus Tidak Tepat Waktu
P,23,Malam,Stat,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,21,Shift,Stat,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
L,18,Shift,Stat,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,22,Malam,Stat,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,21,Shift,Stat,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Math,SMA Negeri,Sangat Baik,2,0,Lulus Tepat Waktu
